"val","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","p45","p46","p47","p48","p49","p50","p51","p52","p53","p54","p55","p56","p57","p58","p59","p60","p61","p62","p63","p64","p65","p66","p67","p68","p69","p70","p71","p72","p73","p74","p75","p76","p77","p78","p79","p80","p81","p82","p83","p84","p85","p86","p87","p88","p89","p90","p91","p92","p93","p94","p95","p96","p97","p98","p99","p100"
54.0152370374961,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N8J1","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9L4","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0152293273755,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHE5","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0151073707103,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N6Z1","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P7C9","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0150253974435,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0150025476403,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N6Z1","G3N754","G3N886","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P7C9","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0149563986656,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N6Z1","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NB86","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P7C9","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PRS4","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0147697697155,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NB86","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJ27","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NW63","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PRS4","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0146175049286,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJ27","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NW63","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P7C9","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0145323236894,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NB86","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJ27","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P7C9","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PRS4","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0144696321615,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N8J1","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NPZ4","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P7C9","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9L4","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.014456979838,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJ27","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9L4","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0144498137167,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N6Z1","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NB86","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0144472189407,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N8J1","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJ27","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0144377781476,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NW63","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P7C9","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZB5","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QBE9","G3QCC3","G3QCM9"
54.0144263749625,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJ27","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P7C9","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9L4","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0141814941561,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NB86","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NMS3","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NW63","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9L4","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0140682880692,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDY7","G3NE33","G3NEJ8","G3NFL4","G3NGT2","G3NGV7","G3NHE9","G3NIG2","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NPZ4","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NSC0","G3NTG1","G3NUA6","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P7C9","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0140288028079,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N8I6","G3N952","G3NA14","G3NB07","G3NB21","G3NB86","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJR4","G3NK83","G3NL81","G3NMS3","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P692","G3P7C9","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4P6","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9L4","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
54.0140195102146,"G3N4W6","G3N517","G3N5P1","G3N640","G3N6B5","G3N6B7","G3N6H3","G3N754","G3N886","G3N8I6","G3N8J1","G3N952","G3NA14","G3NB07","G3NB21","G3NBG2","G3NBX6","G3ND40","G3ND77","G3NDS5","G3NDY7","G3NE33","G3NEJ8","G3NGT2","G3NGV7","G3NHE9","G3NIT1","G3NJ27","G3NJR4","G3NK83","G3NL81","G3NNI9","G3NNK6","G3NPV3","G3NR25","G3NRK0","G3NRM0","G3NS10","G3NTG1","G3NUA6","G3NVR3","G3NVV4","G3NXQ8","G3NYB9","G3NYX9","G3P0D8","G3P1C3","G3P1V1","G3P2H2","G3P2N5","G3P4B9","G3P4Q3","G3P507","G3P584","G3P594","G3P8F3","G3P8K6","G3P8Y4","G3PAP2","G3PAZ5","G3PBL8","G3PCE2","G3PHQ3","G3PID6","G3PJ10","G3PJ29","G3PJ42","G3PKP7","G3PPX6","G3PQ10","G3PQX4","G3PR19","G3PSB5","G3PT08","G3PTQ9","G3PU02","G3PU11","G3PUE2","G3PVS4","G3PWU7","G3PXB8","G3PY06","G3PZ70","G3PZS2","G3PZX4","G3Q297","G3Q307","G3Q4R3","G3Q4Z0","G3Q616","G3Q6S8","G3Q9L4","G3Q9S7","G3Q9U7","G3QA18","G3QA72","G3QB34","G3QBE9","G3QCC3","G3QCM9"
